Time,NO3 Effluent
2018-06-17T02:59:00.000Z,3.77827
2018-06-17T03:59:00.000Z,2.7484950000000006
2018-06-17T04:59:00.000Z,2.6804750000000004
2018-06-17T05:59:00.000Z,3.26627
2018-06-17T06:59:00.000Z,3.70832
2018-06-17T07:59:00.000Z,3.638745
2018-06-17T08:59:00.000Z,3.071385
2018-06-17T09:59:00.000Z,2.16851
2018-06-17T10:59:00.000Z,1.5352
2018-06-17T11:59:00.000Z,1.7052
2018-06-17T12:59:00.000Z,2.455835
2018-06-17T13:59:00.000Z,3.355625
2018-06-17T14:59:00.000Z,4.197455
2018-06-17T15:59:00.000Z,4.87596
2018-06-17T16:59:00.000Z,5.332765000000001
2018-06-17T17:59:00.000Z,5.586710000000001
2018-06-17T18:59:00.000Z,5.699675
2018-06-17T19:59:00.000Z,5.732060000000001
2018-06-17T20:59:00.000Z,5.531095
2018-06-17T21:59:00.000Z,5.102345
2018-06-17T22:59:00.000Z,4.596875
2018-06-17T23:59:00.000Z,4.128635
2018-06-18T00:59:00.000Z,3.850195
2018-06-18T01:59:00.000Z,3.780895
2018-06-18T02:59:00.000Z,3.8440800000000004
2018-06-18T03:59:00.000Z,3.85864
2018-06-18T04:59:00.000Z,3.77082
2018-06-18T05:59:00.000Z,3.69664
2018-06-18T06:59:00.000Z,3.789625
2018-06-18T07:59:00.000Z,3.7797050000000003
2018-06-18T08:59:00.000Z,3.403415
2018-06-18T09:59:00.000Z,3.3117750000000004
2018-06-18T10:59:00.000Z,3.73264
2018-06-18T11:59:00.000Z,3.979925
2018-06-18T12:59:00.000Z,3.6543
2018-06-18T13:59:00.000Z,3.151325
2018-06-18T14:59:00.000Z,3.0918
2018-06-18T15:59:00.000Z,3.5090600000000003
2018-06-18T16:59:00.000Z,4.267885
2018-06-18T17:59:00.000Z,5.233965
2018-06-18T18:59:00.000Z,5.708820000000001
2018-06-18T19:59:00.000Z,5.46399
2018-06-18T20:59:00.000Z,5.05333
2018-06-18T21:59:00.000Z,4.675105
2018-06-18T22:59:00.000Z,3.483693
2018-06-18T23:59:00.000Z,1.9650550000000002
2018-06-19T00:59:00.000Z,1.026485
2018-06-19T01:59:00.000Z,0.836355
2018-06-19T02:59:00.000Z,1.332695
2018-06-19T03:59:00.000Z,1.431725
2018-06-19T04:59:00.000Z,1.10716
2018-06-19T05:59:00.000Z,1.332455
2018-06-19T06:59:00.000Z,2.10684
2018-06-19T07:59:00.000Z,2.236645
2018-06-19T08:59:00.000Z,1.6696450000000003
2018-06-19T09:59:00.000Z,1.4416300000000002
2018-06-19T10:59:00.000Z,1.8917
2018-06-19T11:59:00.000Z,2.579765
2018-06-19T12:59:00.000Z,3.027405
2018-06-19T13:59:00.000Z,3.177345
2018-06-19T14:59:00.000Z,3.116735
2018-06-19T15:59:00.000Z,3.571743
2018-06-19T16:59:00.000Z,4.638145
2018-06-19T17:59:00.000Z,4.8714
2018-06-19T18:59:00.000Z,4.753895
2018-06-19T19:59:00.000Z,4.741745
2018-06-19T20:59:00.000Z,4.688615
2018-06-19T21:59:00.000Z,4.37966
2018-06-19T22:59:00.000Z,3.9031650000000004
2018-06-19T23:59:00.000Z,3.36322
2018-06-20T00:59:00.000Z,2.809475
2018-06-20T01:59:00.000Z,2.359025
2018-06-20T02:59:00.000Z,2.202595
2018-06-20T03:59:00.000Z,2.23482
2018-06-20T04:59:00.000Z,2.29925
2018-06-20T05:59:00.000Z,2.348985
2018-06-20T06:59:00.000Z,2.427765
2018-06-20T07:59:00.000Z,2.577285
2018-06-20T08:59:00.000Z,2.684195
2018-06-20T09:59:00.000Z,2.7294
2018-06-20T10:59:00.000Z,2.682405
2018-06-20T11:59:00.000Z,2.485755
2018-06-20T12:59:00.000Z,2.326685
2018-06-20T13:59:00.000Z,2.5094
2018-06-20T14:59:00.000Z,3.1463
2018-06-20T15:59:00.000Z,3.9364550000000005
2018-06-20T16:59:00.000Z,4.218345
2018-06-20T17:59:00.000Z,4.228265
2018-06-20T18:59:00.000Z,4.466785
2018-06-20T19:59:00.000Z,4.590685
2018-06-20T20:59:00.000Z,4.50176
2018-06-20T21:59:00.000Z,4.364665
2018-06-20T22:59:00.000Z,4.128545
2018-06-20T23:59:00.000Z,3.770105
